month,nodes,nodes_after_reinvest,demand_equiv_nodes,utilization,revenue_cny,rent_cny,cost_cny,profit_cny,cash_cny,equity_cny,survival_prob,expected_profit_cny,price_index
1,1,1,0.041666666666666664,0.041666666666666664,15179.425918383165,150000,158895.5861291846,-143716.16021080143,606283.8397891986,606283.8397891986,0.985,-141560.4178076394,0.9815765298737517
2,1,1,0.08333333333333333,0.08333333333333333,29799.536436884468,150000,159758.17264977618,-129958.63621289172,476325.20357630687,476325.20357630687,0.970225,-126089.11781965288,0.9634924839989961
3,1,1,0.125,0.125,43875.78835134522,150000,160588.67151272937,-116712.88316138415,359612.3204149227,359612.3204149227,0.955671625,-111539.19070927512,0.9457416090031758
4,1,1,0.16666666666666666,0.16666666666666666,57423.25876718483,150000,161387.97226726392,-103964.71350007909,255647.60691484364,255647.60691484364,0.941336550625,-97865.78479288082,0.9283177667225558
5,1,1,0.20833333333333334,0.20833333333333334,70456.65384341971,150000,162156.94257676176,-91700.28873334205,163947.31818150159,163947.31818150159,0.927216502365625,-85026.02098524735,0.9112149320796772
6,1,1,0.25,0.25,82990.31734336806,150000,162896.42872325872,-79906.11137989066,84041.20680161093,84041.20680161093,0.9133082548301407,-72978.91113463078,0.8944271909999159
7,1,1,0.2916666666666667,0.2916666666666667,95038.23899619543,150000,163607.25610077553,-68569.0171045801,15472.18969703083,15472.18969703083,0.8996086310076885,-61685.279606994074,0.8779487383664247
8,1,1,0.3333333333333333,0.3333333333333333,106614.06267336888,150000,164290.22969772876,-57676.16702435988,-42203.97732732905,-42203.97732732905,0.8861145015425732,-51107.68799367685,0.8617738760127536
9,1,1,0.375,0.375,117731.09438400161,150000,164946.1345686561,-47215.040184654485,-89419.01751198353,-89419.01751198353,0.8728227840194346,-41210.3628215596,0.8458970107524514
10,1,1,0.4166666666666667,0.4166666666666667,128402.31009298604,150000,165575.7362954862,-37173.42620250015,-126592.44371448368,-126592.44371448368,0.8597304422591431,-31959.126149363074,0.8303126524449708
11,1,1,0.4583333333333333,0.4583333333333333,138640.3633657313,150000,166179.78143857815,-27539.418072846864,-154131.86178733053,-154131.86178733053,0.8468344856252559,-23321.328938138147,0.8150154120972048
