month,nodes,nodes_after_reinvest,demand_equiv_nodes,utilization,revenue_cny,rent_cny,cost_cny,profit_cny,cash_cny,equity_cny,survival_prob,expected_profit_cny,price_index
1,1,1,0.1,0.1,36430.6222041196,150000,160149.40671004305,-123718.78450592345,626281.2154940765,626281.2154940765,0.985,-121863.0027383346,0.9815765298737517
2,1,1,0.2,0.2,71518.88744852273,150000,162219.61435946284,-90700.72691094011,535580.4885831363,535580.4885831363,0.970225,-88000.11276716687,0.9634924839989961
3,1,1,0.3,0.3,105301.89204322852,150000,164212.81163055048,-58910.91958732196,476669.5689958144,476669.5689958144,0.955671625,-56299.49425226031,0.9457416090031758
4,1,1,0.4,0.4,137815.8210412436,150000,166131.13344143337,-28315.31240018978,448354.2565956246,448354.2565956246,0.941336550625,-26654.23850466394,0.9283177667225558
5,1,1,0.5,0.5,169095.9692242073,150000,167976.66218422822,1119.3070399790886,449473.5636356037,449473.5636356037,0.927216502365625,1037.8399586826313,0.9112149320796772
6,1,1,0.6,0.6,199176.76162408333,150000,169751.4289358209,29425.332688262424,478898.8963238661,478898.8963238661,0.9133082548301407,26874.399245313245,0.8944271909999159
7,1,1,0.7,0.7,228091.773590869,150000,171457.41464186128,56634.35894900773,535533.2552728738,535533.2552728738,0.8996086310076885,50948.75812211487,0.8779487383664247
8,1,1,0.8,0.8,255873.75041608533,150000,173096.55127454904,82777.19914153629,618310.45441441,618310.45441441,0.8861145015425732,73350.07655639274,0.8617738760127536
9,1,1,0.9,0.9,282554.6265216039,150000,174670.72296477464,107883.90355682926,726194.3579712394,726194.3579712394,0.8728227840194346,94163.5290533559,0.8458970107524514
10,1,2,1.0,1.0,308165.5442231665,150000,176181.76710916683,131983.77711399965,108178.13508523908,858178.1350852391,0.8597304422591431,113470.47106925109,0.8303126524449708
11,2,2,1.1,0.55,332736.87207775516,300000,335631.47545258753,-2894.603374832368,105283.5317104067,855283.5317104068,0.8468344856252559,-2451.2499600152983,0.8150154120972048
12,2,2,1.2,0.6,356298.2228237774,300000,337021.59514660283,19276.627677174576,124560.15938758128,874560.1593875813,0.834131968340877,16079.251387335857,0.8
13,2,2,1.3,0.65,378878.4709228439,300000,338353.8297844478,40524.64113839611,165084.8005259774,915084.8005259774,0.8216199888157638,33295.855198891855,0.7852612238990014
14,2,2,1.4,0.7,400505.76971172716,300000,339629.8404129919,60875.92929873528,225960.72982471267,975960.7298247127,0.8092956889835273,49266.627144332466,0.7707939871991969
15,2,2,1.5,0.75,421207.56817291415,300000,340851.2465222019,80356.32165071223,306317.0514754249,1056317.0514754248,0.7971562536487744,64056.54432407766,0.7565932872025407
16,2,2,1.6,0.8,441010.6273319795,300000,342019.6270125868,98991.00031939271,405308.0517948176,1155308.0517948177,0.7851989098440427,77727.62553515844,0.7426542133780447
17,2,2,1.7,0.85,459941.03628984385,300000,343136.5211411008,116804.51514874306,522112.56694356067,1272112.5669435607,0.773420926196382,90339.0562902602,0.7289719456637418
18,2,2,1.8,0.9,478024.22789780016,300000,344203.4294459702,133820.79845182993,655933.3653953907,1405933.3653953907,0.7618196123034363,101947.30879470937,0.7155417527999328
19,2,3,1.9,0.95,495284.9940830299,300000,345221.81465089874,150063.17943213118,55996.54482752178,1555996.5448275218,0.7503923181188847,112606.25707836705,0.7023589906931399
20,3,3,2.0,0.6666666666666666,511747.5008321706,450000,504193.102549098,7554.398283072573,63550.94311059435,1563550.9431105943,0.7391364333471014,5583.7310030337285,0.6894191008102029
21,3,3,2.1,0.7000000000000001,527435.3028403274,450000,505118.6828675793,22316.6199727481,85867.56308334245,1585867.5630833425,0.7280493868468949,16247.601487654423,0.6767176086019611
22,3,3,2.2,0.7333333333333334,542371.3578327731,450000,505999.9101121336,36371.447720639524,122239.01080398198,1622239.010803982,0.7171286460441915,26083.007058569317,0.6642501219559767
23,3,3,2.3,0.7666666666666666,556578.0405664267,450000,506838.1043934191,49739.93617300759,171978.94697698957,1671978.9469769895,0.7063717163535286,35134.884085842335,0.6520123296777639
24,3,3,2.4,0.7999999999999999,570077.1565180438,450000,507634.55223456456,62442.604283479275,234421.55126046884,1734421.5512604688,0.6957761406082257,43446.07421788587,0.6400000000000001
25,3,3,2.5,0.8333333333333334,582889.9552659137,450000,508390.50736068893,74499.4479052248,308920.99916569365,1808920.9991656938,0.6853394984991023,51057.41426582676,0.6282089791192011
26,3,3,2.6,0.8666666666666667,595037.1435717092,450000,509107.1914707308,85929.95210097835,394850.951266672,1894850.951266672,0.6750594060216157,58007.82242475234,0.6166351897593576
27,3,3,2.7,0.9,606538.8981689964,450000,509785.7949919708,96753.10317702562,491604.0544436976,1991604.0544436977,0.6649335149312915,64334.380976009554,0.6052746297620326
28,3,3,2.8,0.9333333333333332,617414.8782647711,450000,510427.47781762155,106987.40044714953,598591.4548908472,2098591.454890847,0.6549595122073221,70072.41560919449,0.5941233707024357
29,3,3,2.9,0.9666666666666667,627684.2377602574,450000,511033.37002785516,116650.86773240229,715242.3226232495,2215242.3226232496,0.6451351195242122,75255.57149714642,0.5831775565309935
30,3,4,3.0,1.0,637365.6371970667,450000,511604.5725946269,125761.06460243976,91003.38722568925,2341003.3872256894,0.635458092731349,79915.88625213034,0.5724334022399462
31,4,4,3.06,0.765,638135.6134290827,600000,669650.0011923158,-31514.387763233157,59488.99946245609,2309488.999462456,0.6259262213403788,-19725.681650496,0.5618871925545119
32,4,4,3.1212,0.7803,638906.5198389485,600000,669695.484670498,-30788.96483154944,28700.03463090665,2278700.034630907,0.6165373280202731,-18982.54610975365,0.5515352806481624
33,4,4,3.1836240000000005,0.7959060000000001,639678.3575503749,600000,669741.0230954721,-30062.665545097203,-1362.6309141905513,2248637.369085809,0.607289268099969,-18256.734156016235,0.541374086881569
34,4,4,3.24729648,0.81182412,640451.1276884306,600000,669786.6165336174,-29335.488845186774,-30698.119759377325,2219301.880240623,0.5981799290784694,-17547.900636896054,0.5314000975647813
35,4,4,3.3122424096,0.8280606024,641224.8313795438,600000,669832.2650513931,-28607.433671849314,-59305.55343122664,2190694.446568773,0.5892072301422924,-16855.706755269683,0.5216098637422112
36,4,4,3.378487257792,0.844621814448,641999.4697515025,600000,669877.9687153386,-27878.498963836115,-87184.05239506275,2162815.9476049375,0.580369121690158,-16179.819957681546,0.5120000000000001
