month,nodes,nodes_after_reinvest,demand_equiv_nodes,utilization,revenue_cny,rent_cny,cost_cny,profit_cny,cash_cny,equity_cny,survival_prob,expected_profit_cny,price_index
1,1,1,0.016666666666666666,0.016666666666666666,6071.770367353266,350000,358358.23445167387,-352286.4640843206,1397713.5359156793,1397713.5359156793,0.985,-347002.1671230558,0.9815765298737517
2,1,1,0.03333333333333333,0.03333333333333333,11919.814574753786,350000,358703.2690599105,-346783.4544851567,1050930.0814305227,1050930.0814305227,0.970225,-336457.9771278612,0.9634924839989961
3,1,1,0.05,0.05,17550.31534053809,350000,359035.46860509174,-341485.15326455364,709444.9281659691,709444.9281659691,0.955671625,-326347.67133371,0.9457416090031758
4,1,1,0.06666666666666667,0.06666666666666667,22969.30350687393,350000,359355.1889069056,-336385.88540003164,373059.04276593745,373059.04276593745,0.941336550625,-316652.3290414023,0.9283177667225558
5,1,1,0.08333333333333333,0.08333333333333333,28182.66153736788,350000,359662.7770307047,-331480.1154933368,41578.927272600646,41578.927272600646,0.927216502365625,-307353.8332914852,0.9112149320796772
6,1,1,0.1,0.1,33196.126937347224,350000,359958.5714893035,-326762.44455195626,-285183.5172793556,-285183.5172793556,0.9133082548301407,-298434.83797777776,0.8944271909999159
7,1,1,0.11666666666666667,0.11666666666666667,38015.295598478166,350000,360242.9024403102,-322227.60684183205,-607411.1241211877,-607411.1241211877,0.8996086310076885,-289878.7362638642,0.8779487383664247
8,1,1,0.13333333333333333,0.13333333333333333,42645.62506934755,350000,360516.0918790915,-317870.46680974396,-925281.5909309317,-925281.5909309317,0.8861145015425732,-281669.6302522213,0.8617738760127536
9,1,1,0.15,0.15,47092.43775360064,350000,360778.45382746245,-313686.0160738618,-1238967.6070047936,-1238967.6070047936,0.8728227840194346,-273792.3018575532,0.8458970107524514
10,1,1,0.16666666666666666,0.16666666666666666,51360.92403719441,350000,361030.29451819445,-309669.37048100005,-1548636.9774857936,-1548636.9774857936,0.8597304422591431,-266232.1848377406,0.8303126524449708
11,1,1,0.18333333333333332,0.18333333333333332,55456.14534629251,350000,361271.9125754313,-305815.76722913876,-1854452.7447149325,-1854452.7447149325,0.8468344856252559,-258975.3379375807,0.8150154120972048
12,1,1,0.2,0.2,59383.037137296225,350000,361503.59919110045,-302120.5620538042,-2156573.306768737,-2156573.306768737,0.834131968340877,-252008.41910219178,0.8
13,1,1,0.21666666666666667,0.21666666666666667,63146.41182047398,350000,361725.63829740795,-298579.226476934,-2455152.5332456706,-2455152.5332456706,0.8216199888157638,-245318.6607185979,0.7852612238990014
14,1,1,0.23333333333333334,0.23333333333333334,66750.96161862121,350000,361938.30673549866,-295187.34511687746,-2750339.878362548,-2750339.878362548,0.8092956889835273,-238893.8458455816,0.7707939871991969
15,1,1,0.25,0.25,70201.26136215236,350000,362141.874420367,-291940.61305821466,-3042280.4914207626,-3042280.4914207626,0.7971562536487744,-232722.28539341287,0.7565932872025407
16,1,1,0.26666666666666666,0.26666666666666666,73501.77122199659,350000,362336.6045020978,-288834.83328010124,-3331115.324700864,-3331115.324700864,0.7851989098440427,-226792.79621652132,0.7426542133780447
17,1,1,0.2833333333333333,0.2833333333333333,76656.83938164063,350000,362522.7535235168,-285865.91414187616,-3616981.23884274,-3616981.23884274,0.773420926196382,-221094.6800835853,0.7289719456637418
18,1,1,0.3,0.3,79670.70464963335,350000,362700.57157432835,-283029.866924695,-3900011.1057674354,-3900011.1057674354,0.7618196123034363,-215617.70349086428,0.7155417527999328
19,1,1,0.31666666666666665,0.31666666666666665,82547.49901383831,350000,362870.3024418165,-280322.8034279782,-4180333.909195414,-4180333.909195414,0.7503923181188847,-210352.078285905,0.7023589906931399
20,1,1,0.3333333333333333,0.3333333333333333,85291.2501386951,350000,363032.18375818303,-277740.9336194879,-4458074.842814902,-4458074.842814902,0.7391364333471014,-205288.44307000237,0.6894191008102029
21,1,1,0.35,0.35,87905.88380672119,350000,363186.44714459655,-275280.56333787536,-4733355.406152777,-4733355.406152777,0.7280493868468949,-200417.84534900798,0.6767176086019611
22,1,1,0.35,0.35,86286.3523824866,350000,363090.8947905667,-276804.5424080801,-5010159.948560857,-5010159.948560857,0.7171286460441915,-198504.46671598844,0.6642501219559767
23,1,1,0.35,0.35,84696.65834706492,350000,362997.10284247686,-278300.44449541194,-5288460.393056269,-5288460.393056269,0.7063717163535286,-196583.56264017406,0.6520123296777639
24,1,1,0.35,0.35,83136.25199221473,350000,362905.03886754066,-279768.78687532595,-5568229.179931595,-5568229.179931595,0.6957761406082257,-194656.4467947595,0.6400000000000001
25,1,1,0.35,0.35,81604.5937372279,350000,362814.6710304964,-281210.0772932685,-5849439.257224863,-5849439.257224863,0.6853394984991023,-192724.37334506243,0.6282089791192011
26,1,1,0.35,0.35,80101.15394234545,350000,362725.9680825984,-282624.81414025294,-6132064.071365116,-6132064.071365116,0.6750594060216157,-190788.5391604887,0.6166351897593576
27,1,1,0.35,0.35,78625.41272561064,350000,362638.899350811,-284013.48662520037,-6416077.557990316,-6416077.557990316,0.6649335149312915,-188850.08594958583,0.6052746297620326
28,1,1,0.35,0.35,77176.85978309638,350000,362553.4347272027,-285376.5749441063,-6701454.132934422,-6701454.132934422,0.6549595122073221,-186910.10232078814,0.5941233707024357
29,1,1,0.35,0.35,75754.99421244486,350000,362469.5446585342,-286714.55044608936,-6988168.683380512,-6988168.683380512,0.6451351195242122,-184969.62577136862,0.5831775565309935
30,1,1,0.35,0.35,74359.32433965777,350000,362387.2001360398,-288027.875796382,-7276196.559176894,-7276196.559176894,0.635458092731349,-183029.64460703082,0.5724334022399462
31,1,1,0.35,0.35,72989.36754907807,350000,362306.3726853956,-289317.0051363175,-7565513.5643132115,-7565513.5643132115,0.6259262213403788,-181091.09979449018,0.5618871925545119
32,1,1,0.35,0.35,71644.65011650388,350000,362227.0343568737,-290582.38424036984,-7856095.948553582,-7856095.948553582,0.6165373280202731,-179154.88674931793,0.5515352806481624
33,1,1,0.35,0.35,70324.70704537696,350000,362149.1577156772,-291824.4506703003,-8147920.399223882,-8147920.399223882,0.607289268099969,-177221.85706124216,0.541374086881569
34,1,1,0.35,0.35,69029.08190598928,350000,362072.7158324534,-293043.6339264641,-8440964.033150345,-8440964.033150345,0.5981799290784694,-175292.82015902927,0.5314000975647813
35,1,1,0.35,0.35,67757.32667765196,350000,361997.68227398145,-294240.3555963295,-8735204.388746675,-8735204.388746675,0.5892072301422924,-173368.54491699647,0.5216098637422112
36,1,1,0.35,0.35,66509.0015937718,350000,361924.0310940325,-295415.0295002607,-9030619.418246936,-9030619.418246936,0.580369121690158,-171449.7612051384,0.5120000000000001
