国家,情形,电价假设,硬件_USD,摊销_USD,托管_USD,电费_USD,网络_USD,合计成本_USD,本项目租金_USD,出租方毛利率,对出租方可持续
MY,硬件低位,实测,400000.0,13285.723925140466,3923.2050000000004,1454.296875,1000.0,19663.225800140466,22085.78117408013,0.10968846222124007,True
MY,硬件中位,实测,500000.0,16607.15490642558,3923.2050000000004,1454.296875,1000.0,22984.656781425583,22085.78117408013,-0.04069928974938741,False
MY,硬件高位,实测,600000.0,19928.5858877107,3923.2050000000004,1454.296875,1000.0,26306.0877627107,22085.78117408013,-0.191087041720015,False
TH,硬件低位,假设同马来西亚(G-2),400000.0,13285.723925140466,3596.775,1454.296875,1000.0,19336.795800140466,22085.78117408013,0.12446855976124005,True
TH,硬件中位,假设同马来西亚(G-2),500000.0,16607.15490642558,3596.775,1454.296875,1000.0,22658.226781425583,22085.78117408013,-0.02591919220938732,False
TH,硬件高位,假设同马来西亚(G-2),600000.0,19928.5858877107,3596.775,1454.296875,1000.0,25979.6577627107,22085.78117408013,-0.1763069441800149,False
ID,硬件低位,假设同马来西亚(G-2),400000.0,13285.723925140466,2937.87,1454.296875,1000.0,18677.890800140467,22085.78117408013,0.15430246035124007,True
ID,硬件中位,假设同马来西亚(G-2),500000.0,16607.15490642558,2937.87,1454.296875,1000.0,21999.32178142558,22085.78117408013,0.003914708380612697,True
ID,硬件高位,假设同马来西亚(G-2),600000.0,19928.5858877107,2937.87,1454.296875,1000.0,25320.752762710697,22085.78117408013,-0.14647304359001478,False
SG,硬件低位,实测,400000.0,13285.723925140466,6045.0,1745.15625,1000.0,22075.880175140468,22085.78117408013,0.00044829742998997446,True
SG,硬件中位,实测,500000.0,16607.15490642558,6045.0,1745.15625,1000.0,25397.31115642558,22085.78117408013,-0.1499394545406374,False
SG,硬件高位,实测,600000.0,19928.5858877107,6045.0,1745.15625,1000.0,28718.7421377107,22085.78117408013,-0.30032720651126477,False
