month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
1,horizon,1,0,0,资金+需求,False,False,True,0.041666666666666664,0.041666666666666664,2234.996527877139,103262846.72356057,1032628467.2356057,22085.78117408013,23838.52709213803,-21603.53056426089,0.0,-21603.53056426089,893.9986111508557,65398.59621533336,44171.56234816026,109570.15856349362,0.99,-21387.49525861828,0.9815765298737517,1340.9979167262836,45512.560264886546
2,horizon,1,0,0,资金+需求,False,False,True,0.08333333333333333,0.08333333333333333,4387.640272227052,206525693.44712114,2065256934.4712114,22085.78117408013,23889.329484504688,-19501.689212277633,0.0,-19501.689212277633,2425.5550672539625,43934.82179808263,44171.56234816026,88106.3841462429,0.9801,-19113.605596953308,0.9634924839989961,3303.083121699374,47474.645469859635
3,horizon,1,0,0,资金+需求,False,False,True,0.125,0.125,6460.20706912043,309788540.1706817,3097885401.706817,22085.78117408013,23938.242060911372,-17478.03499179094,0.0,-17478.03499179094,4570.873867679429,24567.453604850685,44171.56234816026,68739.01595301094,0.9702989999999999,-16958.919874499756,0.9457416090031758,5192.4163231403745,49363.97867130063
4,horizon,1,0,0,资金+需求,False,False,True,0.16666666666666666,0.16666666666666666,8454.91684956415,413051386.8942423,4130513868.942423,22085.78117408013,23985.317211729845,-15530.400362165696,0.0,-15530.400362165696,6636.320942229904,7218.457335350744,44171.56234816026,51390.019683511004,0.96059601,-14918.440621598922,0.9283177667225558,7011.012230474618,51182.57457863488
5,horizon,1,0,0,资金+需求,False,False,True,0.20833333333333334,0.20833333333333334,10373.934926957863,516314233.61780286,5163142336.178029,22085.78117408013,24030.606038356334,-13656.671111398471,0.0,-13656.671111398471,8624.111146388519,-8188.0375566170715,44171.56234816026,35983.52479154319,0.9509900498999999,-12987.35834169672,0.9112149320796772,8760.836011043964,52932.39835920422
6,horizon,1,0,0,资金+需求,False,False,True,0.25,0.25,12219.373256087292,619577080.3413634,6195770803.413634,22085.78117408013,24074.15838292379,-11854.785126836498,0.0,-11854.785126836498,10536.40483539152,-21725.791104149343,44171.56234816026,22445.771244010917,0.9414801494009999,-11161.044872330776,0.8944271909999159,10443.804431739736,54615.366779899996
7,horizon,1,0,0,资金+需求,False,False,True,0.2916666666666667,0.2916666666666667,13993.291664266006,722839927.064924,7228399270.6492405,22085.78117408013,24116.02285735681,-10122.731193090804,0.0,-10122.731193090804,12375.30912061995,-33466.504840886206,44171.56234816026,10705.057507274054,0.9320653479069899,-9435.04697125712,0.8779487383664247,12061.786975385796,56233.349323546056
8,horizon,1,0,0,资金+需求,False,False,True,0.3333333333333333,0.3333333333333333,15697.699055224597,826102773.7884846,8261027737.884846,22085.78117408013,24156.24687178343,-8458.547816558834,0.0,-8458.547816558834,14142.879098195828,-43479.87261447381,44171.56234816026,691.6897336864495,0.92274469442792,-7805.08012029453,0.8617738760127536,13616.606932414565,57788.169280574824
9,horizon,1,0,0,资金+需求,False,False,True,0.375,0.375,17334.554586333557,929365620.5120451,9293656205.120451,22085.78117408013,24194.8766623176,-6860.322075984044,0.0,-6860.322075984044,15841.119050380603,-51833.63022641081,44171.56234816026,-7662.067878250549,0.9135172474836407,-6267.0225397041995,0.8458970107524514,15110.042468367523,59281.60481652778
10,horizon,1,0,0,资金+需求,False,False,True,0.4166666666666667,0.4166666666666667,18905.7688197338,1032628467.2356057,10326284672.356058,22085.78117408013,24231.957318225846,-5326.188498492047,0.0,-5326.188498492047,17471.983620360967,-58593.60392427569,44171.56234816026,-14422.041576115429,0.9043820750088043,-4816.9094061542655,0.8303126524449708,16543.82766774035,60715.39001590061
11,horizon,1,0,0,资金+需求,False,False,True,0.4583333333333333,0.4583333333333333,20413.204847936642,1135891313.9591663,11358913139.591663,22085.78117408013,24267.532808491436,-3854.327960554794,0.0,-3854.327960554794,19037.378960994865,-63823.75777177226,44171.56234816026,-19652.195423612,0.8953382542587163,-3450.927267543688,0.8150154120972048,17919.653554682125,62091.215902842385
12,horizon,1,0,0,资金+需求,False,False,True,0.5,0.5,21858.679394443305,1239154160.6827269,12391541606.827269,22085.78117408013,24301.646007788993,-2442.9666133456885,0.0,-2442.9666133456885,20539.163858078457,-67586.2399214828,44171.56234816026,-23414.677573322544,0.8863848717161291,-2165.4086481772047,0.8,19239.16909104699,63410.73143920725
