month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
1,horizon,1,0,0,资金+需求,False,False,True,0.1,0.1,5464.669848610826,247830832.1365454,2478308321.3654537,22085.78117408013,23914.747382507347,-18450.07753389652,0.0,-18450.07753389652,2185.8679394443307,66614.24525325751,44171.56234816026,110785.80760141776,0.99,-18265.576758557556,1.0,3278.8019091664955,47450.36425732676
2,horizon,1,0,0,资金+需求,False,False,True,0.2,0.2,10929.339697221652,495661664.2730908,4956616642.730907,22085.78117408013,24043.71359093456,-13114.373893712907,0.0,-13114.373893712907,6011.136833471909,48581.66849579486,44171.56234816026,92753.23084395513,0.9801,-12853.39785322802,1.0,8197.00477291624,52368.5671210765
3,horizon,1,0,0,资金+需求,False,False,True,0.3,0.3,16394.00954583248,743492496.4096361,7434924964.096361,22085.78117408013,24172.679799361777,-7778.670253529297,0.0,-7778.670253529297,11475.806682082735,35884.79537851582,44171.56234816026,80056.35772667607,0.9702989999999999,-7547.635968329223,1.0,13115.207636665982,57286.76998482624
4,horizon,1,0,0,资金+需求,False,False,True,0.4,0.4,21858.679394443305,991323328.5461816,9913233285.461815,22085.78117408013,24301.646007788993,-2442.9666133456885,0.0,-2442.9666133456885,16940.476530693562,28523.625901420386,44171.56234816026,72695.18824958065,0.96059601,-2346.703981343081,1.0,18033.410500415717,62204.97284857598
5,horizon,1,0,0,资金+需求,False,False,True,0.5,0.5,27323.34924305413,1239154160.6827269,12391541606.827269,22085.78117408013,24430.612216216206,2892.7370268379236,0.0,2892.7370268379236,22405.146379304388,26498.160064508567,44171.56234816026,70669.72241266882,0.9509900498999999,2750.9641295001743,1.0,22951.613364165452,67123.17571232571
6,horizon,1,0,0,资金+需求,False,False,True,0.6,0.6,32788.01909166496,1486984992.8192723,14869849928.192722,22085.78117408013,24559.578424643423,8228.440667021536,0.0,8228.440667021536,27869.816227915213,29808.397867780357,44171.56234816026,73979.96021594062,0.9414801494009999,7746.913548524699,1.0,27869.816227915202,72041.37857607545
7,horizon,1,0,0,资金+需求,False,False,True,0.7,0.7,38252.68894027578,1734815824.9558175,17348158249.558174,22085.78117408013,24688.54463307064,13564.14430720514,0.0,13564.14430720514,33334.48607652604,38454.33931123576,44171.56234816026,82625.90165939601,0.9320653479069899,12642.668882755775,1.0,32788.019091664944,76959.58143982521
8,horizon,1,0,0,资金+需求,False,False,True,0.8,0.8,43717.35878888661,1982646657.092363,19826466570.92363,22085.78117408013,24817.510841497853,18899.847947388756,0.0,18899.847947388756,38799.15592513687,52435.98439487477,44171.56234816026,96607.54674303503,0.92274469442792,17439.734418947388,1.0,37706.22195541469,81877.78430357494
9,horizon,1,0,0,资金+需求,False,False,True,0.9,0.9,49182.02863749744,2230477489.2289085,22304774892.289085,22085.78117408013,24946.47704992507,24235.55158757237,0.0,24235.55158757237,44263.825773747696,71753.3331186974,44171.56234816026,115924.89546685765,0.9135172474836407,22139.59437752689,1.0,42624.424819164415,86795.98716732467
10,horizon,1,0,0,资金,False,True,True,1.0,1.0,54646.69848610826,2478308321.3654537,24783083213.654537,22085.78117408013,25075.443258352287,29571.255227755973,0.0,29571.255227755973,49728.49562235852,96406.38548270363,44171.56234816026,140577.94783086388,0.9043820750088043,26743.7131634929,1.0,47542.62768291417,91714.19003107442
11,horizon,1,0,0,资金,False,True,True,1.1,1.0,54646.69848610826,2478308321.3654537,24783083213.654537,22085.78117408013,25075.443258352287,29571.255227755973,0.0,29571.255227755973,53007.29753152501,124338.23975587635,44171.56234816026,168509.80210403661,0.8953382542587163,26476.27603185797,1.0,49182.02863749745,93353.5909856577
12,horizon,1,1,1,无,True,True,True,1.2,1.0,54646.69848610826,2478308321.3654537,24783083213.654537,22085.78117408013,25075.443258352287,29571.255227755973,3219.111346222638,26352.143881533335,54646.69848610826,18175.6965929289,88343.12469632052,106518.82128924942,0.8863848717161291,23358.1416738779,1.0,49182.02863749745,137525.15333381796
13,horizon,1,1,0,资金+需求,False,False,True,1.3,1.0,54646.69848610826,2478308321.3654537,24783083213.654537,22085.78117408013,25075.443258352287,29571.255227755973,0.0,29571.255227755973,54646.69848610826,47746.95182068487,88343.12469632052,136090.0765170054,0.8775210229989678,25949.398138824,1.0,49182.02863749745,137525.15333381796
14,horizon,2,0,0,资金+需求,False,False,True,1.4,0.7,76505.37788055156,3469631649.911635,34696316499.11635,44171.56234816026,48877.08926614128,27628.28861441028,0.0,27628.28861441028,63390.17024388558,62260.03279842917,88343.12469632052,150603.1574947497,0.8687458127689781,24001.960047741763,1.0,62297.236274163355,150640.36097048386
15,horizon,2,0,0,资金+需求,False,False,True,1.5,0.75,81970.0477291624,3717462482.0481806,37174624820.481804,44171.56234816026,49006.05547456849,32963.992254593904,0.0,32963.992254593904,72133.6420016629,85387.61932552358,88343.12469632052,173730.74402184412,0.8600583546412883,28350.956940894204,1.0,72133.64200166287,160476.76669798337
16,horizon,2,0,0,资金+需求,False,False,True,1.6,0.8,87434.71757777322,3965293314.184726,39652933141.84726,44171.56234816026,49135.021682995706,38299.69589477751,0.0,38299.69589477751,82516.51471402348,118769.11235655136,88343.12469632052,207112.23705287187,0.8514577710948754,32610.57370017881,1.0,77051.84486541268,165394.9695617332
17,horizon,2,0,0,需求,True,False,True,1.7,0.85,92899.38742638406,4213124146.3212714,42131241463.212715,44171.56234816026,49263.98789142293,43635.39953496113,0.0,43635.39953496113,87981.1845626343,157486.30902776273,88343.12469632052,245829.43372408324,0.8429431933839266,36782.16302858364,1.0,81970.04772916238,170313.1724254829
18,horizon,2,0,0,需求,True,False,True,1.8,0.9,98364.05727499488,4460954978.457817,44609549784.57817,44171.56234816026,49392.95409985014,48971.10317514474,0.0,48971.10317514474,93445.85441124513,201539.20933915774,88343.12469632052,289882.33403547824,0.8345137614500874,40867.05951305035,1.0,86888.2505929122,175231.3752892327
19,horizon,2,1,1,无,True,True,True,1.9,0.95,103828.7271236057,4708785810.594362,47087858105.94362,44171.56234816026,49521.92030827735,54306.806815328346,0.0,54306.806815328346,98910.52425985597,118413.12624625556,132514.6870444808,250927.81329073635,0.8261686238355865,44866.57985152487,1.0,91806.4534566619,224321.14050114268
20,horizon,2,1,0,需求+供给,True,False,False,2.0,1.0,109293.39697221652,4956616642.730907,49566166427.309074,44171.56234816026,49650.88651670457,59642.51045551195,0.0,59642.51045551195,104375.19410846678,173137.43383801775,132514.6870444808,305652.12088249857,0.8179069375972307,48782.02307727859,1.0,96724.65632041171,229239.3433648925
21,horizon,3,0,0,需求+供给,True,False,False,2.1,0.7000000000000001,114758.06682082737,5204447474.867453,52044474748.67453,66257.3435222404,73065.63389921191,41692.43292161546,0.0,41692.43292161546,109839.86395707761,209911.66389588345,132514.6870444808,342426.35094036424,0.8097278682212583,33759.524830577495,1.0,101642.85918416153,234157.5462286423
22,horizon,3,0,0,需求,True,False,True,2.2,0.7333333333333334,120222.73666943819,5452278307.003999,54522783070.03998,66257.3435222404,73194.60010763913,47028.13656179907,0.0,47028.13656179907,115304.53380568845,252021.59759393276,132514.6870444808,384536.2846384136,0.8016305895390458,37699.192836957736,1.0,106561.06204791134,239075.74909239213
23,horizon,3,0,0,需求,True,False,True,2.3,0.7666666666666666,125687.40651804899,5700109139.140543,57001091391.405426,66257.3435222404,73323.56631606634,52363.840201982646,0.0,52363.840201982646,120769.20365429927,299467.2349321657,132514.6870444808,431981.9219766465,0.7936142836436553,41556.691530727294,1.0,111479.26491166116,243993.95195614194
24,horizon,3,0,0,需求,True,False,True,2.4,0.7999999999999999,131152.0763666598,5947939971.277088,59479399712.77089,66257.3435222404,73452.53252449355,57699.543842166255,74169.5548541905,-16470.011012024246,126233.87350291008,278079.0210563917,132514.6870444808,410593.70810087246,0.7856781408072188,-12940.12763100163,1.0,116397.46777541074,248912.15481989153
25,horizon,3,0,0,需求,True,False,True,2.5,0.8333333333333334,136616.74621527066,6195770803.413634,61957708034.13635,66257.3435222404,73581.49873292077,63035.24748234989,0.0,63035.24748234989,131698.5433515209,336196.0656749918,132514.6870444808,468710.7527194726,0.7778213593991465,49030.161886783026,1.0,121315.67063916032,253830.3576836411
