month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
1,horizon,1,0,0,资金+需求,False,False,True,0.016666666666666666,0.016666666666666666,910.7783081018043,41305138.68942423,413051386.8942423,22085.78117408013,23807.275542151332,-22896.497234049526,0.0,-22896.497234049526,364.3113232407218,64900.160477409925,44171.56234816026,109071.72282557018,0.99,-22667.53226170903,1.0,546.4669848610826,44718.02933302134
2,horizon,1,0,0,资金+需求,False,False,True,0.03333333333333333,0.03333333333333333,1821.5566162036087,82610277.37884846,826102773.7884846,22085.78117408013,23828.769910222534,-22007.213294018926,0.0,-22007.213294018926,1001.8561389119848,42073.24670609938,44171.56234816026,86244.80905425965,0.9801,-21569.26974946795,1.0,1366.1674621527065,45537.729810312965
3,horizon,1,0,0,资金+需求,False,False,True,0.05,0.05,2732.334924305413,123915416.0682727,1239154160.6827269,22085.78117408013,23850.264278293736,-21117.929353988322,0.0,-21117.929353988322,1912.6344470137892,20135.616874819432,44171.56234816026,64307.17922297969,0.9702989999999999,-20490.705734245512,1.0,2185.8679394443307,46357.43028760459
4,horizon,1,0,0,资金+需求,False,False,True,0.06666666666666667,0.06666666666666667,3643.1132324072173,165220554.75769693,1652205547.5769691,22085.78117408013,23871.75864636494,-20228.64541395772,0.0,-20228.64541395772,2823.4127551155934,-912.729016429912,44171.56234816026,43258.83333173035,0.96059601,-19431.556072352585,1.0,3005.568416735955,47177.13076489622
5,horizon,1,0,0,资金+需求,False,False,True,0.08333333333333333,0.08333333333333333,4553.891540509022,206525693.44712114,2065256934.4712114,22085.78117408013,23893.253014436144,-19339.36147392712,0.0,-19339.36147392712,3734.1910632173976,-21071.79096764866,44171.56234816026,23099.7713805116,0.9509900498999999,-18391.54033312409,1.0,3825.2688940275784,47996.831242187836
6,horizon,1,0,0,资金+需求,False,False,True,0.1,0.1,5464.669848610826,247830832.1365454,2478308321.3654537,22085.78117408013,23914.747382507347,-18450.07753389652,0.0,-18450.07753389652,4644.969371319203,-40341.5689788368,44171.56234816026,3829.993369323456,0.9414801494009999,-17370.38175307293,1.0,4644.969371319201,48816.53171947946
7,horizon,1,0,0,资金+需求,False,False,True,0.11666666666666667,0.11666666666666667,6375.448156712631,289135970.8259696,2891359708.259696,22085.78117408013,23936.24175057855,-17560.793593865918,0.0,-17560.793593865918,5555.747679421007,-58722.06304999434,44171.56234816026,-14550.500701834084,0.9320653479069899,-16367.807190589476,1.0,5464.669848610825,49636.23219677109
8,horizon,1,0,0,资金+需求,False,False,True,0.13333333333333333,0.13333333333333333,7286.226464814435,330441109.51539385,3304411095.1539383,22085.78117408013,23957.73611864975,-16671.509653835317,0.0,-16671.509653835317,6466.525987522811,-76213.27318112129,44171.56234816026,-32041.710832961027,0.92274469442792,-15383.547081180388,1.0,6284.370325902451,50455.932674062715
9,horizon,1,0,0,资金+需求,False,False,True,0.15,0.15,8197.00477291624,371746248.20481807,3717462482.0481806,22085.78117408013,23979.230486720953,-15782.225713804713,0.0,-15782.225713804713,7377.304295624615,-92815.19937221763,44171.56234816026,-48643.63702405737,0.9135172474836407,-14417.335393240419,1.0,7104.070803194074,51275.633151354334
10,horizon,1,0,0,资金+需求,False,False,True,0.16666666666666666,0.16666666666666666,9107.783081018044,413051386.8942423,4130513868.942423,22085.78117408013,24000.724854792155,-14892.941773774111,0.0,-14892.941773774111,8288.08260372642,-108527.84162328337,44171.56234816026,-64356.27927512311,0.9043820750088043,-13468.909584351133,1.0,7923.7712804857,52095.33362864596
11,horizon,1,0,0,资金+需求,False,False,True,0.18333333333333332,0.18333333333333332,10018.561389119848,454356525.5836665,4543565255.836665,22085.78117408013,24022.219222863358,-14003.65783374351,0.0,-14003.65783374351,9198.860911828224,-123351.1999343185,44171.56234816026,-79179.63758615823,0.8953382542587163,-12538.01055810031,1.0,8743.471757777326,52915.034105937586
12,horizon,1,0,0,资金+需求,False,False,True,0.2,0.2,10929.339697221652,495661664.2730908,4956616642.730907,22085.78117408013,24043.71359093456,-13114.373893712907,0.0,-13114.373893712907,10109.639219930028,-137285.27430532302,44171.56234816026,-93113.71195716277,0.8863848717161291,-11624.382621416069,1.0,9563.172235068952,53734.73458322921
13,horizon,1,0,0,资金+需求,False,False,True,0.21666666666666667,0.21666666666666667,11840.118005323457,536966802.962515,5369668029.62515,22085.78117408013,24065.207959005762,-12225.089953682305,0.0,-12225.089953682305,11020.417528031832,-150330.06473629695,44171.56234816026,-106158.5023881367,0.8775210229989678,-10727.773442409702,1.0,10382.872712360579,54554.43506052084
14,horizon,1,0,0,资金+需求,False,False,True,0.23333333333333334,0.23333333333333334,12750.896313425263,578271941.6519392,5782719416.519392,22085.78117408013,24086.702327076968,-11335.806013651705,0.0,-11335.806013651705,11931.195836133638,-162485.5712272403,44171.56234816026,-118314.00887908004,0.8687458127689781,-9847.93400872132,1.0,11202.57318965219,55374.13553781245
15,horizon,1,0,0,资金+需求,False,False,True,0.25,0.25,13661.674621527065,619577080.3413634,6195770803.413634,22085.78117408013,24108.19669514817,-10446.522073621105,0.0,-10446.522073621105,12841.974144235443,-173751.79377815302,44171.56234816026,-129580.23142999277,0.8600583546412883,-8984.618586362467,1.0,12022.273666943816,56193.836015104076
16,horizon,1,0,0,资金+需求,False,False,True,0.26666666666666666,0.26666666666666666,14572.45292962887,660882219.0307877,6608822190.307877,22085.78117408013,24129.691063219372,-9557.238133590503,0.0,-9557.238133590503,13752.752452337245,-184128.73238903514,44171.56234816026,-139957.1700408749,0.8514577710948754,-8137.584679049917,1.0,12841.974144235443,57013.5364923957
17,horizon,1,0,0,资金+需求,False,False,True,0.2833333333333333,0.2833333333333333,15483.231237730675,702187357.7202119,7021873577.202119,22085.78117408013,24151.185431290574,-8667.954193559899,0.0,-8667.954193559899,14663.530760439051,-193616.38705988665,44171.56234816026,-149444.8247117264,0.8429431933839266,-7306.59298802498,1.0,13661.674621527054,57833.236969687314
18,horizon,1,0,0,资金+需求,False,False,True,0.3,0.3,16394.00954583248,743492496.4096361,7434924964.096361,22085.78117408013,24172.679799361777,-7778.670253529297,0.0,-7778.670253529297,15574.309068540853,-202214.75779070758,44171.56234816026,-158043.19544254732,0.8345137614500874,-6491.407372352638,1.0,14481.37509881868,58652.93744697894
19,horizon,1,0,0,资金+需求,False,False,True,0.31666666666666665,0.31666666666666665,17304.787853934282,784797635.0990603,7847976350.990603,22085.78117408013,24194.17416743298,-6889.386313498697,0.0,-6889.386313498697,16485.08737664266,-209923.8445814979,44171.56234816026,-165752.28223333764,0.8261686238355865,-5691.794809694943,1.0,15301.075576110306,59472.637924270566
