因素,取值,IRR年化,回本月,窗口末权益_USD,继续经营终值_USD,峰值资金占用_USD,需追加资金_USD,期末节点数
年化价格侵蚀率,0.0,0.1326227862846312,26.0,187232.6263638357,776051.2004366128,265029.3740889616,48427.2975079549,2
年化价格侵蚀率,0.1,,,70240.2035353405,317630.287011403,265029.3740889616,57434.10673573223,2
年化价格侵蚀率,0.2,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
年化价格侵蚀率,0.3,,,-64120.081062590274,-79519.83603153785,132514.6870444808,108291.64341075053,1
年化价格侵蚀率,0.4,,,-214493.53682864457,-229893.29179759216,132514.6870444808,258665.09917680483,1
月租金_CNY,100000,,,56846.510243968994,161013.42125157258,176686.249392641,15023.994936277264,2
月租金_CNY,125000,,,23263.923396925646,41195.82261232208,220857.8117408013,50355.34718334145,2
月租金_CNY,150000,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
月租金_CNY,175000,,,-2682.0126893650813,-18081.767658312656,154600.46821856088,114289.78052839577,1
月租金_CNY,200000,,,-110939.62264053775,-126339.37760948532,176686.249392641,169968.09328099806,1
缓存命中率,0.65,,,82418.67939083715,42991.8909874218,265029.3740889616,52955.037566966625,2
缓存命中率,0.75,,,150826.8174995648,135427.0625306172,132514.6870444808,60938.17302088516,1
缓存命中率,0.85,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
缓存命中率,0.89,,,83190.8990970127,67791.14412806513,132514.6870444808,75783.06121921475,1
汇率_USDCNY,6.2,,,42909.21654821959,27509.461579272018,145161.29032258064,94434.56626156671,1
汇率_USDCNY,6.7917,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
汇率_USDCNY,7.1,,,131277.00158592267,115877.2466169751,126760.56338028169,61357.76622504312,1
汇率_USDCNY,7.5,,,83015.65572222772,33137.75391567235,240000.0,51169.39724796102,1
月度中断危险率,0.005,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
月度中断危险率,0.01,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
月度中断危险率,0.02,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
月度中断危险率,0.03,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
主动折价系数,0.6,,,-223558.46062880353,-238958.2155977511,132514.6870444808,267730.0229769638,1
主动折价系数,0.8,,,-57061.1995231596,-72460.95449210718,132514.6870444808,118869.13234248619,1
主动折价系数,1.0,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
流量画像,对话 2K/500,,,59121.835183650706,166592.66891985896,265029.3740889616,29221.289512669813,2
流量画像,基准 8K/800,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
流量画像,智能体 32K/1500,,,-46710.628369695936,-62110.383338643514,132514.6870444808,114998.38114520084,1
流量画像,长文档 128K/2000,,,-43086.44211980033,-58486.19708874791,132514.6870444808,113643.4601131193,1
租约期限_月,12,,,103973.68479929803,97906.8147629195,132514.6870444808,70947.97233204161,1
租约期限_月,36,,,103973.68479929803,88573.92983035046,132514.6870444808,70947.97233204161,1
