因素,取值,IRR年化,回本月,窗口末权益_USD,继续经营终值_USD,峰值资金占用_USD,需追加资金_USD,期末节点数
年化价格侵蚀率,0.0,2.4549965147282173,13.0,1039677.8410085544,2453828.4715681425,530058.7481779231,0.0,4
年化价格侵蚀率,0.1,1.6610716316981096,15.0,535608.0638624373,1112919.7157317956,530058.7481779231,0.0,4
年化价格侵蚀率,0.2,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
年化价格侵蚀率,0.3,,23.0,100133.60300508956,-66312.91551289955,265029.3740889616,0.0,2
年化价格侵蚀率,0.4,,,20684.231168864168,5284.476199916593,132514.6870444808,23487.331179296092,1
月租金_CNY,100000,3.283448060017001,10.0,632617.9719870094,925611.2409659111,353372.498785282,0.0,4
月租金_CNY,125000,1.7135160482258347,13.0,358391.5314391685,480006.5854556259,441715.6234816026,0.0,4
月租金_CNY,150000,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
月租金_CNY,175000,0.2607648004465819,23.0,242174.0642302769,157191.62992573407,309200.93643712177,0.0,2
月租金_CNY,200000,,,189265.23619578936,173865.48122684177,176686.249392641,0.0,1
缓存命中率,0.65,1.319225315796528,14.0,291597.58639824693,353871.6306505485,530058.7481779231,0.0,4
缓存命中率,0.75,1.1160083425536165,15.0,234880.8541534898,226030.52920455398,530058.7481779231,0.0,4
缓存命中率,0.85,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
缓存命中率,0.89,0.8123510921877433,18.0,169455.3750573919,19549.83609933016,530058.7481779231,7230.874335249126,4
汇率_USDCNY,6.2,0.5944674218195729,20.0,228363.48877878394,82236.34090043703,435483.87096774194,0.0,3
汇率_USDCNY,6.7917,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
汇率_USDCNY,7.1,1.0531304190717883,16.0,214292.93324329285,180657.5496257193,507042.25352112675,0.0,4
汇率_USDCNY,7.5,1.2442817460117679,15.0,243650.79215974757,283510.96760100825,480000.0,0.0,4
月度中断危险率,0.005,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
月度中断危险率,0.01,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
月度中断危险率,0.02,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
月度中断危险率,0.03,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
主动折价系数,0.6,,,-41290.02969912232,-56689.7846680699,132514.6870444808,85461.59204728258,1
主动折价系数,0.8,,,76443.93303035907,-82017.23348164922,265029.3740889616,11899.191665961449,2
主动折价系数,1.0,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
流量画像,对话 2K/500,2.50338571148345,11.0,689510.7421433118,992473.4383314911,530058.7481779231,0.0,4
流量画像,基准 8K/800,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
流量画像,智能体 32K/1500,,,102963.84090521766,-26865.58176099969,265029.3740889616,5406.315482584582,2
流量画像,长文档 128K/2000,,,113417.18961104832,-7251.7071521356265,265029.3740889616,5128.154732630348,2
租约期限_月,12,0.9079545485568079,17.0,186128.60679571578,214214.4400368539,530058.7481779231,0.0,4
租约期限_月,36,0.9079545485568079,17.0,186128.60679571578,82373.97975968824,530058.7481779231,0.0,4
